"full_run_name","site_name","region_name","management_name","climate_scenario","crop_system_name","crop_name","Year","Grain.C.kgC.ha.","Leaf.C.kgC.ha.","Stem.C.kgC.ha.","Root.C.kgC.ha."
"v_1__CA__grape-c__cn__rcp26","v_1","CA","cn","rcp26","grape-c","grape",2020,293.718173,146.847338,107.887081,146.98597
"v_1__CA__grape-c__cn__rcp60","v_1","CA","cn","rcp60","grape-c","grape",2020,291.44646,140.022567,105.865215,145.853823
"v_1__CA__grape-c__rn__rcp26","v_1","CA","rn","rcp26","grape-c","grape",2020,293.718173,146.847338,107.887081,146.98597
"v_1__CA__grape-c__rn__rcp60","v_1","CA","rn","rcp60","grape-c","grape",2020,291.430076,100.798817,100.798817,145.853823
"v_1__CA__grape-a__ct-bc__rcp26","v_1","CA","ct-bc","rcp26","grape-a","barley",2021,1694.110471,846.783569,865.191908,980.550829
"v_1__CA__grape-a__ct-bc__rcp60","v_1","CA","ct-bc","rcp60","grape-a","barley",2021,953.443666,721.330564,737.011663,835.279885
"v_1__CA__grape-a__nt-bc__rcp26","v_1","CA","nt-bc","rcp26","grape-a","barley",2021,1203.094657,784.540087,801.595306,908.47468
"v_1__CA__grape-a__nt-bc__rcp60","v_1","CA","nt-bc","rcp60","grape-a","barley",2021,500.824478,727.097124,742.903584,841.957395
"v_1__CA__grape-a__rt-bc__rcp26","v_1","CA","rt-bc","rcp26","grape-a","barley",2021,1253.810828,801.496736,818.920578,928.109989
"v_1__CA__grape-a__rt-bc__rcp60","v_1","CA","rt-bc","rcp60","grape-a","barley",2021,535.856406,744.859236,761.051828,862.525406
"v_1__CA__grape-a__ct-lc__rcp26","v_1","CA","ct-lc","rcp26","grape-a","faba_bean",2021,371.897201,1036.763892,1036.763892,1445.488118
"v_1__CA__grape-a__ct-lc__rcp60","v_1","CA","ct-lc","rcp60","grape-a","faba_bean",2021,609.86006,569.29307,569.29307,793.725915
