"site_name","system","management","climate_scenario","year","NO3.yr"
"h_1","hops-a","nt-nc","rcp26",2060,8.110104
"h_1","hops-a","nt-nc","rcp26",2061,7.310476
"h_1","hops-a","nt-nc","rcp26",2062,6.372795
"h_1","hops-a","nt-nc","rcp26",2063,8.561089
"h_1","hops-a","nt-nc","rcp26",2064,7.116529
"h_1","hops-a","nt-nc","rcp26",2065,7.423366
"h_1","hops-a","nt-nc","rcp26",2066,4.63349
"h_1","hops-a","nt-nc","rcp26",2067,9.091031
"h_1","hops-a","nt-nc","rcp26",2068,4.8537
"h_1","hops-a","nt-nc","rcp26",2069,7.859794
"h_1","hops-a","nt-nc","rcp26",2070,7.02674
"h_1","hops-a","nt-nc","rcp26",2071,6.996416
"h_1","hops-a","nt-nc","rcp26",2072,6.302695
"h_1","hops-a","nt-nc","rcp60",2013,8.847127
"h_1","hops-a","nt-nc","rcp60",2014,13.476845
"h_1","hops-a","nt-nc","rcp60",2015,13.322807
"h_1","hops-a","nt-nc","rcp60",2016,15.480481
"h_1","hops-a","nt-nc","rcp60",2017,13.110099
"h_1","hops-a","nt-nc","rcp60",2018,12.504559
"h_1","hops-a","nt-nc","rcp60",2019,11.211398
"h_1","hops-a","nt-nc","rcp60",2020,17.60888
"h_1","hops-a","nt-nc","rcp60",2021,15.286162
"h_1","hops-a","nt-nc","rcp60",2022,14.424846
"h_1","hops-a","nt-nc","rcp60",2023,13.180426
"h_1","hops-a","nt-nc","rcp60",2024,13.610517
"h_1","hops-a","nt-nc","rcp60",2025,9.941872
"h_1","hops-a","nt-nc","rcp60",2026,13.166356
"h_1","hops-a","nt-nc","rcp60",2027,11.629856
"h_1","hops-a","nt-nc","rcp60",2028,12.522344
"h_1","hops-a","nt-nc","rcp60",2029,4.16814
"h_1","hops-a","nt-nc","rcp60",2030,17.238975
"h_1","hops-a","nt-nc","rcp60",2031,10.588826
"h_1","hops-a","nt-nc","rcp60",2032,8.203644
"h_1","hops-a","nt-nc","rcp60",2033,9.594835
"h_1","hops-a","nt-nc","rcp60",2034,11.961201
"h_1","hops-a","nt-nc","rcp60",2035,8.805921
"h_1","hops-a","nt-nc","rcp60",2036,8.742979
"h_1","hops-a","nt-nc","rcp60",2037,9.076068
"h_1","hops-a","nt-nc","rcp60",2038,9.204745
"h_1","hops-a","nt-nc","rcp60",2039,9.361643
"h_1","hops-a","nt-nc","rcp60",2040,8.078661
"h_1","hops-a","nt-nc","rcp60",2041,3.032618
"h_1","hops-a","nt-nc","rcp60",2042,14.508742
"h_1","hops-a","nt-nc","rcp60",2043,7.793349
"h_1","hops-a","nt-nc","rcp60",2044,8.30008
"h_1","hops-a","nt-nc","rcp60",2045,4.500152
"h_1","hops-a","nt-nc","rcp60",2046,12.374516
"h_1","hops-a","nt-nc","rcp60",2047,7.041328
"h_1","hops-a","nt-nc","rcp60",2048,7.62154
"h_1","hops-a","nt-nc","rcp60",2049,3.592212
"h_1","hops-a","nt-nc","rcp60",2050,13.524646
"h_1","hops-a","nt-nc","rcp60",2051,6.450971
"h_1","hops-a","nt-nc","rcp60",2052,10.254223
"h_1","hops-a","nt-nc","rcp60",2053,7.416656
"h_1","hops-a","nt-nc","rcp60",2054,7.361606
"h_1","hops-a","nt-nc","rcp60",2055,8.567281
"h_1","hops-a","nt-nc","rcp60",2056,9.177642
"h_1","hops-a","nt-nc","rcp60",2057,7.733537
"h_1","hops-a","nt-nc","rcp60",2058,4.414081
"h_1","hops-a","nt-nc","rcp60",2059,10.99248
"h_1","hops-a","nt-nc","rcp60",2060,8.607677
"h_1","hops-a","nt-nc","rcp60",2061,5.897892
"h_1","hops-a","nt-nc","rcp60",2062,8.933091
"h_1","hops-a","nt-nc","rcp60",2063,7.470868
"h_1","hops-a","nt-nc","rcp60",2064,7.738385
"h_1","hops-a","nt-nc","rcp60",2065,8.416794
