"site_name","crop_system_name","management_name","climate_scenario","Year","trans.yr","evap.yr","leach.yr","run.yr","sed.yr"
"v_8","grape-c","rn","rcp26",2031,67.229028,191.206991,274.175167,104.466323,240.128753905396
"v_8","grape-c","rn","rcp26",2032,65.818625,184.726363,978.140023,823.359567,1396.65834364892
"v_8","grape-c","rn","rcp26",2033,68.893102,213.389213,942.433594,543.927882,953.835788488764
"v_8","grape-c","rn","rcp26",2034,65.09452,178.388428,375.64821,173.42312,361.124063032823
"v_8","grape-c","rn","rcp26",2035,67.898874,186.854675,306.587464,192.786229,402.841122375962
"v_8","grape-c","rn","rcp26",2036,67.614038,207.156971,668.703427,438.198463,744.759133225722
"v_8","grape-c","rn","rcp26",2037,66.85844,203.699355,731.22948,349.830959,854.355489220052
"v_8","grape-c","rn","rcp26",2038,66.750117,277.420482,561.116405,374.683579,601.26894386634
"v_8","grape-c","rn","rcp26",2039,66.684024,223.38409,1440.316819,1346.762523,2357.46034229205
"v_8","grape-c","rn","rcp26",2040,66.4155,203.393935,932.044064,766.327493,1616.18134778359
"v_8","grape-c","rn","rcp26",2041,68.058816,226.37177,812.279831,516.727138,888.414450628087
"v_8","grape-c","rn","rcp26",2042,67.631486,239.299644,617.513342,388.803683,753.723412583763
"v_8","grape-c","rn","rcp26",2043,67.523054,188.310886,666.869825,308.220166,566.330854413097
"v_8","grape-c","rn","rcp26",2044,60.423207,200.057351,47.309055,17.557216,64.2339335061542
"v_8","grape-c","rn","rcp26",2045,66.968474,167.421696,540.320814,343.372527,473.804140239063
"v_8","grape-c","rn","rcp26",2046,66.554592,223.751911,282.909634,98.046925,195.88834880079
"v_8","grape-c","rn","rcp26",2047,67.707091,153.771964,266.683116,249.392188,438.861120670018
"v_8","grape-c","rn","rcp26",2048,66.348118,226.951848,856.911886,730.482438,1154.83122635392
"v_8","grape-c","rn","rcp26",2049,64.222772,176.062654,358.890954,201.450828,298.346324104781
"v_8","grape-c","rn","rcp26",2050,67.497596,191.84565,370.430397,133.828259,223.08483839927
"v_8","grape-c","rn","rcp26",2051,67.400677,194.678031,385.789833,175.355965,311.557479491861
"v_8","grape-c","rn","rcp26",2052,67.625386,225.308784,518.201755,273.881542,573.075075900496
"v_8","grape-c","rn","rcp26",2053,68.585214,204.621154,1121.757927,713.247585,1246.61027931672
"v_8","grape-c","rn","rcp26",2054,69.043008,156.894774,932.645746,725.814654,1458.13643274022
"v_8","grape-c","rn","rcp26",2055,65.792088,138.709405,697.396101,418.130386,688.183617813945
"v_8","grape-c","rn","rcp26",2056,68.648468,192.232703,248.591612,127.129722,264.976637640802
"v_8","grape-c","rn","rcp26",2057,68.584934,186.202145,743.216453,413.783706,614.06959777312
"v_8","grape-c","rn","rcp26",2058,67.422041,215.383376,385.66654,166.576183,347.212100227647
"v_8","grape-c","rn","rcp26",2059,67.540259,168.085701,272.05392,182.339598,264.934817088457
"v_8","grape-c","rn","rcp26",2060,66.176176,203.554874,402.633064,144.968739,272.287282555826
"v_8","grape-c","rn","rcp26",2061,66.982509,244.233465,453.605977,194.877325,484.337430551977
"v_8","grape-c","rn","rcp26",2062,66.097027,146.532086,731.486851,592.541381,1017.79285128828
"v_8","grape-c","rn","rcp26",2063,68.854981,227.993818,329.272346,144.739788,244.412923771661
"v_8","grape-c","rn","rcp26",2064,67.115177,200.471055,686.331392,343.662514,468.952372466154
"v_8","grape-c","rn","rcp26",2065,68.510652,249.240032,711.775044,415.552523,672.647148656455
"v_8","grape-c","rn","rcp26",2066,67.702203,193.322944,825.918457,522.74979,1107.7610968805
"v_8","grape-c","rn","rcp26",2067,67.120582,223.988685,450.775459,176.459598,365.90895829575
"v_8","grape-c","rn","rcp26",2068,67.597412,178.9016,509.282301,391.263144,551.398710149059
"v_8","grape-c","rn","rcp26",2069,67.440194,180.842573,431.458671,154.995031,305.107611429497
"v_8","grape-c","rn","rcp26",2070,67.937905,179.294997,348.749022,217.21654,331.073446188691
"v_8","grape-c","rn","rcp26",2071,67.345198,206.988597,367.601602,202.630074,322.8190455405
"v_8","grape-c","rn","rcp26",2072,65.276672,181.893353,607.127931,327.360251,548.593413595803
"v_8","grape-c","rn","rcp60",2014,53.242501,182.362935,177.7455,499.328784,677.552316974127
"v_8","grape-c","rn","rcp60",2015,64.604804,200.590127,508.04824,332.377803,550.789484122645
"v_8","grape-c","rn","rcp60",2016,64.469757,154.485522,1159.043797,656.995659,1122.95681074991
"v_8","grape-c","rn","rcp60",2017,61.523947,202.699996,914.232633,545.997118,876.610047791017
"v_8","grape-c","rn","rcp60",2018,65.37873,196.537639,858.051239,500.502547,907.910124282123
"v_8","grape-c","rn","rcp60",2019,64.160456,152.761152,596.572266,458.951845,843.476938472566
"v_8","grape-c","rn","rcp60",2020,63.74684,221.454019,170.848722,81.469684,132.213546505039
"v_8","grape-c","rn","rcp60",2021,64.781098,197.458813,340.099942,178.561193,727.864726708168
"v_8","grape-c","rn","rcp60",2022,63.775671,194.536849,772.107983,433.400425,933.379310114731
"v_8","grape-c","rn","rcp60",2023,64.907633,213.984254,542.612206,297.776371,460.007729318882
"v_8","grape-c","rn","rcp60",2024,66.477636,181.817218,523.561873,208.078014,329.211453438512
"v_8","grape-c","rn","rcp60",2025,63.718603,192.414059,1064.663031,875.231433,1591.31910911739
"v_8","grape-c","rn","rcp60",2026,66.485118,192.246401,411.011493,175.418948,265.075403406582
"v_8","grape-c","rn","rcp60",2027,65.964297,204.612257,129.755516,59.632746,124.452259551034
"v_8","grape-c","rn","rcp60",2028,65.164763,236.911379,504.78973,214.399098,343.268822812433
"v_8","grape-c","rn","rcp60",2029,65.6029,192.614425,477.075964,228.742368,307.643882189341
"v_8","grape-c","rn","rcp60",2030,65.151833,177.702868,235.332294,166.189011,388.354560623356
"v_8","grape-c","rn","rcp60",2031,66.974393,206.1485,661.027868,593.720205,846.000727401869
"v_8","grape-c","rn","rcp60",2032,65.278814,181.106978,657.417343,476.460058,1049.17634477258
"v_8","grape-c","rn","rcp60",2033,67.526957,191.120848,178.365573,84.125234,222.67353315069
"v_8","grape-c","rn","rcp60",2034,67.111287,194.625399,244.708975,81.815658,181.803268462212
"v_8","grape-c","rn","rcp60",2035,65.107264,188.653814,487.167502,320.020666,549.099775143717
"v_8","grape-c","rn","rcp60",2036,66.97972,227.604199,752.570839,479.757039,745.341981835106
"v_8","grape-c","rn","rcp60",2037,66.532713,210.041375,314.392375,150.276654,258.408044409529
"v_8","grape-c","rn","rcp60",2038,67.618495,253.979411,712.336668,460.072949,834.324630584223
"v_8","grape-c","rn","rcp60",2039,65.466489,220.881447,125.963503,86.405625,112.89906749736
"v_8","grape-c","rn","rcp60",2040,66.967175,216.625684,197.130929,56.429232,116.868473953409
"v_8","grape-c","rn","rcp60",2041,69.210197,134.445284,837.238834,588.28718,1034.55549777336
"v_8","grape-c","rn","rcp60",2042,69.322214,236.569784,235.459685,81.655614,266.909159119867
"v_8","grape-c","rn","rcp60",2043,68.485441,179.78376,479.540133,317.765666,519.912158742652
"v_8","grape-c","rn","rcp60",2044,68.022344,176.763286,694.755814,448.572439,776.718912391313
