"site_name","crop","management","climate_scenario","year","trans.yr","evap.yr","leach.yr","run.yr","sed.yr"
"a_10","almond-c","cn","rcp60",2023,98.993381,190.337186,263.179037,101.187531,693.95833027693
"a_10","almond-c","cn","rcp60",2024,80.534799,159.215238,197.189591,38.772899,363.979675399391
"a_10","almond-c","cn","rcp60",2025,81.925184,192.558006,495.642721,207.370106,1544.20514620452
"a_10","almond-c","cn","rcp60",2026,87.184903,179.925092,189.42224,40.370825,297.591851107924
"a_10","almond-c","cn","rcp60",2027,109.300428,252.712407,0,0.443174,2.41494423502193
"a_10","almond-c","cn","rcp60",2028,101.45833,253.327211,191.655418,87.405524,435.384977451211
"a_10","almond-c","cn","rcp60",2029,95.845874,194.070814,204.575747,49.468675,203.539734519726
"a_10","almond-c","cn","rcp60",2030,92.82388,178.414424,53.123084,45.241354,232.068852673905
"a_10","almond-c","cn","rcp60",2031,93.622318,215.744937,310.456464,113.549726,442.002220384822
"a_10","almond-c","cn","rcp60",2032,81.398567,184.794544,331.508921,93.038314,460.29198538774
"a_10","almond-c","cn","rcp60",2033,109.05356,167.881651,13.752386,19.91483,209.308666314985
"a_10","almond-c","cn","rcp60",2034,105.672159,198.302111,48.904989,11.146783,78.1142034464012
"a_10","almond-c","cn","rcp60",2035,97.5502,191.103864,269.266489,72.199477,344.741736072678
"a_10","almond-c","cn","rcp60",2036,96.512332,211.249333,263.111739,51.341015,273.525234227501
"a_10","almond-c","cn","rcp60",2037,105.379008,176.744233,52.565859,7.712447,59.1681399026248
"a_10","almond-c","cn","rcp60",2038,95.147684,233.707451,362.331058,77.807647,409.833671874049
"a_10","almond-c","cn","rcp60",2039,100.952419,199.363471,6.451332,19.567568,183.171129234285
"a_10","almond-c","cn","rcp60",2040,104.6098,196.607705,12.53596,2.13046,4.87108341442016
"a_10","almond-c","cn","rcp60",2041,91.960149,151.989311,457.940039,117.589669,595.711730266668
"a_10","almond-c","cn","rcp60",2042,111.466671,220.629897,30.089331,14.858314,75.9791958112966
"a_10","almond-c","cn","rcp60",2043,102.495675,183.541202,112.59162,20.973168,137.509515453939
